ticker,date,headline_count,label_1d,label_3d,label_5d
AAPL,2010-06-24,1,0,0,0
AAPL,2010-07-28,1,0,1,1
AAPL,2011-03-16,1,1,1,1
AAPL,2011-04-21,1,1,0,0
AAPL,2012-01-10,1,0,0,1
AAPL,2012-06-07,1,1,1,0
AAPL,2012-12-12,1,0,0,0
AAPL,2013-09-10,1,0,0,0
AAPL,2014-11-13,1,1,1,1
AAPL,2015-01-28,1,1,1,1
AAPL,2015-10-28,1,1,1,1
AAPL,2016-04-28,1,0,1,0
AAPL,2016-04-29,1,0,1,0
AAPL,2016-05-05,1,0,1,0
AAPL,2016-05-16,3,0,1,1
AAPL,2016-06-29,1,1,1,1
AAPL,2016-07-25,1,0,1,1
AAPL,2016-07-26,1,1,1,1
AAPL,2016-08-30,1,1,1,1
AAPL,2016-10-27,1,0,0,0
AAPL,2016-10-28,1,0,0,0
AAPL,2017-03-03,1,0,0,0
AAPL,2017-07-19,1,0,1,1
AAPL,2017-08-23,1,0,1,1
AAPL,2017-10-19,1,1,1,1
AAPL,2017-11-07,1,1,1,0
AAPL,2018-01-10,1,1,1,1
AAPL,2018-02-02,1,0,0,0
AAPL,2018-02-15,2,0,0,1
AAPL,2018-05-16,1,0,0,1
AAPL,2018-08-03,1,1,0,1
AAPL,2018-11-20,1,0,0,1
AAPL,2018-11-28,1,0,1,0
AAPL,2018-12-03,1,0,0,0
AAPL,2018-12-10,1,0,1,0
AAPL,2019-03-29,1,1,1,1
AAPL,2019-04-08,1,0,0,0
AAPL,2019-07-05,1,0,0,0
AAPL,2019-09-05,1,0,1,1
AAPL,2019-10-21,1,0,1,1
AAPL,2020-01-29,1,0,0,0
AAPL,2020-02-18,2,1,0,0
AAPL,2020-04-20,1,0,0,1
AAPL,2020-05-15,1,1,1,1
AAPL,2020-05-29,1,1,1,1
AAPL,2020-06-03,1,0,1,1
AAPL,2020-07-21,1,1,0,0
AAPL,2020-07-31,1,1,1,1
AAPL,2020-08-03,1,1,1,1
AAPL,2020-08-11,1,1,1,1
AAPL,2020-08-20,1,1,1,1
AAPL,2020-08-24,2,0,0,1
AAPL,2020-08-25,1,1,0,1
AAPL,2020-08-31,2,1,0,0
AAPL,2020-10-30,2,0,1,1
AAPL,2021-01-14,1,0,1,1
AAPL,2021-01-27,1,0,0,0
AAPL,2021-03-02,1,0,0,0
AAPL,2021-03-11,1,0,1,0
AAPL,2021-04-12,1,1,1,1
AAPL,2021-04-29,1,0,0,0
AAPL,2021-05-06,1,1,0,0
AAPL,2021-07-15,1,0,0,0
AAPL,2021-07-27,1,0,0,1
AAPL,2021-08-27,1,1,1,1
AAPL,2021-09-03,1,1,0,0
AAPL,2021-09-07,1,0,0,0
AAPL,2021-09-14,1,1,0,0
AAPL,2021-10-22,1,0,1,1
AAPL,2021-10-25,1,1,1,1
AAPL,2021-10-29,1,0,1,1
AAPL,2021-11-01,1,1,1,1
AAPL,2021-11-09,1,0,0,1
AAPL,2021-11-10,1,0,1,1
AAPL,2021-12-09,1,1,0,0
AAPL,2022-01-04,1,0,0,0
AAPL,2022-01-05,1,0,0,1
AAPL,2022-01-07,2,1,1,1
AAPL,2022-01-13,1,1,0,0
AAPL,2022-01-28,1,1,1,1
AAPL,2022-01-31,1,0,0,0
AAPL,2022-02-09,1,0,0,0
AAPL,2022-02-17,1,0,0,0
AAPL,2022-03-30,1,0,1,0
AAPL,2022-05-10,1,0,0,0
AAPL,2022-05-11,1,0,0,0
AAPL,2022-05-20,1,1,1,1
AAPL,2022-06-01,1,1,0,0
AAPL,2022-07-12,1,0,1,1
AAPL,2022-07-28,1,1,1,1
AAPL,2022-07-29,1,0,1,1
AAPL,2022-08-29,1,0,0,0
AAPL,2022-09-06,1,1,1,0
AAPL,2022-09-20,1,0,0,0
AAPL,2022-09-21,1,0,0,0
AAPL,2022-09-30,1,1,1,1
AAPL,2022-10-11,1,0,0,1
AAPL,2022-10-27,2,1,1,0
AAPL,2022-10-28,1,0,0,0
AAPL,2022-11-04,1,1,0,1
AAPL,2022-11-10,1,1,1,1
AAPL,2022-11-25,1,0,0,0
AAPL,2022-11-29,2,1,1,1
AAPL,2022-12-02,1,0,0,0
AAPL,2022-12-27,1,0,0,0
AAPL,2023-01-13,3,1,1,1
AAPL,2023-01-30,1,1,1,1
AAPL,2023-02-06,3,1,0,1
AAPL,2023-02-16,1,0,0,0
AAPL,2023-02-23,1,0,0,0
AAPL,2023-03-02,1,1,1,1
AAPL,2023-03-07,1,1,0,1
AAPL,2023-03-21,1,0,1,0
AAPL,2023-03-27,1,0,1,1
AAPL,2023-03-30,1,1,1,1
AAPL,2023-04-05,1,1,0,1
AAPL,2023-04-17,2,1,1,1
AAPL,2023-04-20,1,0,0,1
AAPL,2023-04-27,1,1,1,0
AAPL,2023-05-01,1,0,0,1
AAPL,2023-05-04,1,1,1,1
AAPL,2023-05-11,1,0,0,1
AAPL,2023-05-22,1,0,0,1
AAPL,2023-06-07,1,1,1,1
AAPL,2023-06-23,1,0,1,1
AAPL,2023-06-29,3,1,1,1
AAPL,2023-07-24,1,1,1,1
AAPL,2023-08-02,1,0,0,0
AAPL,2023-08-04,1,0,0,0
AAPL,2023-08-10,1,1,0,0
AAPL,2023-08-15,2,0,0,0
AAPL,2023-09-07,1,1,0,0
AAPL,2023-09-08,3,1,0,0
AAPL,2023-09-12,2,0,0,1
AAPL,2023-09-13,1,1,1,1
AAPL,2023-09-14,1,0,1,0
AAPL,2023-09-18,1,1,0,0
AAPL,2023-09-22,2,1,0,0
AAPL,2023-10-04,1,1,1,1
AAPL,2023-10-05,1,1,1,1
AAPL,2023-10-23,1,1,0,0
AAPL,2023-10-25,2,0,0,1
AAPL,2023-10-31,3,1,1,1
AAPL,2023-11-02,3,0,1,1
AAPL,2023-11-03,2,1,1,1
AAPL,2023-11-06,2,1,1,1
AAPL,2023-11-09,1,1,1,1
AAPL,2023-11-29,1,1,1,1
AAPL,2023-12-08,1,0,1,1
AAPL,2023-12-11,1,1,1,1
AAPL,2023-12-14,1,0,0,0
AAPL,2023-12-21,3,0,0,0
AAPL,2023-12-22,1,0,0,0
AAPL,2023-12-28,1,0,0,0
AAPL,2024-01-02,1,0,0,0
AAPL,2024-01-04,1,0,1,1
AAPL,2024-01-12,1,0,1,1
AAPL,2024-01-16,1,0,1,1
AAPL,2024-01-23,1,0,0,0
AAPL,2024-01-24,2,0,0,0
AAPL,2024-02-01,2,0,1,1
AAPL,2024-02-02,2,1,1,1
AAPL,2024-02-13,1,0,0,0
AAPL,2024-02-15,1,0,0,0
AAPL,2024-02-23,1,0,0,0
AAPL,2024-02-26,1,1,0,0
AAPL,2024-03-01,2,0,0,0
AAPL,2024-03-06,2,0,1,1
AAPL,2024-03-15,2,1,1,0
AAPL,2024-04-02,1,1,1,1
AAPL,2024-04-04,1,1,1,1
AAPL,2024-04-10,2,1,1,1
AAPL,2024-04-16,1,0,0,0
AAPL,2024-04-17,1,0,0,1
AAPL,2024-05-03,6,0,0,0
AAPL,2024-05-07,2,1,1,1
AAPL,2024-05-08,1,1,1,1
AAPL,2024-05-09,1,0,1,1
AAPL,2024-05-15,1,1,1,1
AAPL,2024-05-16,2,1,1,0
AAPL,2024-05-17,2,1,1,1
AAPL,2024-05-20,1,1,0,0
AAPL,2024-05-22,1,0,0,1
AAPL,2024-05-28,1,1,1,1
AAPL,2024-05-29,1,1,1,1
AAPL,2024-05-31,3,1,1,1
AAPL,2024-06-04,3,1,1,1
AAPL,2024-06-06,6,1,1,1
AAPL,2024-06-07,1,0,1,1
AAPL,2024-06-10,2,1,1,1
AAPL,2024-06-11,1,1,1,1
AAPL,2024-06-12,1,1,1,0
AAPL,2024-06-13,1,0,1,0
AAPL,2024-06-14,1,1,0,0
AAPL,2024-06-20,1,0,0,1
AAPL,2024-07-08,1,1,0,1
AAPL,2024-07-10,2,0,1,0
AAPL,2024-07-16,2,0,0,0
AAPL,2024-07-17,1,0,0,0
AAPL,2024-07-18,1,1,1,0
AAPL,2024-07-19,1,0,0,0
AAPL,2024-07-30,1,1,1,0
AAPL,2024-08-01,4,1,0,0
AAPL,2024-08-02,5,0,0,0
AAPL,2024-08-05,4,0,1,1
AAPL,2024-08-06,4,1,1,1
AAPL,2024-08-07,1,1,1,1
AAPL,2024-08-13,2,1,1,1
AAPL,2024-08-14,1,1,1,1
AAPL,2024-08-20,1,0,1,1
AAPL,2024-08-27,3,0,1,0
AAPL,2024-08-29,1,0,0,0
AAPL,2024-09-06,1,1,1,1
AAPL,2024-09-09,3,0,1,0
AAPL,2024-09-10,2,1,1,0
AAPL,2024-09-11,2,1,0,0
AAPL,2024-09-16,1,1,1,1
AAPL,2024-09-18,1,1,1,1
AAPL,2024-09-19,1,0,0,0
AAPL,2024-09-20,2,0,0,0
AAPL,2024-09-23,1,1,1,1
AAPL,2024-10-01,2,1,1,0
AAPL,2024-10-03,1,1,1,1
AAPL,2024-10-08,1,1,1,1
AAPL,2024-10-14,1,1,1,1
AAPL,2024-10-15,1,0,1,1
AAPL,2024-10-25,2,1,0,0
AAPL,2024-10-28,2,1,0,0
AAPL,2024-10-29,3,0,0,0
AAPL,2024-10-31,4,0,0,1
AAPL,2024-11-01,4,0,0,1
AAPL,2024-11-04,2,1,1,1
AAPL,2024-11-05,1,0,1,1
AAPL,2024-11-11,3,0,1,1
AAPL,2024-11-18,1,1,1,1
AAPL,2024-11-19,1,1,1,1
AAPL,2024-11-21,2,1,1,1
AAPL,2024-11-26,1,0,1,1
AAPL,2024-11-29,1,1,1,1
AAPL,2024-12-03,3,1,1,1
AAPL,2024-12-04,1,1,1,1
AAPL,2024-12-10,1,0,1,1
AAPL,2024-12-18,1,1,1,1
AAPL,2024-12-19,1,1,1,1
AAPL,2024-12-24,1,1,0,0
AAPL,2025-01-02,1,0,0,0
AAPL,2025-01-03,1,1,0,0
AAPL,2025-01-08,2,0,0,0
AAPL,2025-01-16,2,1,0,0
AAPL,2025-01-17,3,0,0,0
AAPL,2025-01-21,5,1,1,1
AAPL,2025-01-22,1,0,1,1
AAPL,2025-01-23,2,0,1,1
AAPL,2025-01-28,1,1,0,0
AAPL,2025-01-29,1,0,0,0
AAPL,2025-01-30,5,0,0,0
AAPL,2025-01-31,3,0,0,0
AAPL,2025-02-05,1,1,0,1
AAPL,2025-02-07,1,1,1,1
AAPL,2025-02-11,1,1,1,1
AAPL,2025-02-18,2,1,1,1
AAPL,2025-02-19,3,1,1,0
AAPL,2025-02-24,2,0,0,0
AAPL,2025-02-26,1,0,0,0
AAPL,2025-02-27,2,1,0,0
AAPL,2025-02-28,1,0,0,0
AAPL,2025-03-06,4,1,0,0
AAPL,2025-03-10,2,0,0,0
AAPL,2025-03-11,1,0,0,0
AAPL,2025-03-12,1,0,0,0
AAPL,2025-03-13,1,1,1,1
AAPL,2025-03-14,2,1,1,1
AAPL,2025-03-17,1,0,1,1
AAPL,2025-03-20,1,1,1,1
AAPL,2025-03-25,3,0,0,0
AAPL,2025-03-27,2,0,0,0
AAPL,2025-03-28,1,1,1,0
AAPL,2025-03-31,1,1,0,0
AAPL,2025-04-02,1,0,0,0
AAPL,2025-04-03,4,0,0,0
AAPL,2025-04-04,1,0,1,1
AAPL,2025-04-07,4,0,1,1
AAPL,2025-04-08,3,1,1,1
AAPL,2025-04-09,2,0,1,0
AAPL,2025-04-14,1,0,0,0
AAPL,2025-04-17,1,0,1,1
AAPL,2025-04-23,1,1,1,1
AAPL,2025-04-24,1,1,1,1
AAPL,2025-04-25,1,1,1,0
AAPL,2025-04-28,1,1,1,0
AAPL,2025-04-29,7,1,0,0
AAPL,2025-04-30,3,1,0,0
AAPL,2025-05-01,6,0,0,0
AAPL,2025-05-02,4,0,0,0
AAPL,2025-05-05,3,0,0,1
AAPL,2025-05-07,1,1,1,1
AAPL,2025-05-08,1,1,1,1
AAPL,2025-05-12,5,1,1,0
AAPL,2025-05-14,2,0,0,0
AAPL,2025-05-15,3,0,0,0
AAPL,2025-05-16,4,0,0,0
AAPL,2025-05-19,3,0,0,0
AAPL,2025-05-20,3,0,0,0
AAPL,2025-05-21,5,0,0,0
AAPL,2025-05-22,1,0,0,0
AAPL,2025-05-23,4,1,1,1
AAPL,2025-05-28,1,0,1,1
AAPL,2025-05-29,2,1,1,1
AAPL,2025-05-30,1,1,1,1
AAPL,2025-06-02,1,1,0,0
AAPL,2025-06-03,1,0,1,0
AAPL,2025-06-05,1,1,1,0
AAPL,2025-06-09,2,1,0,0
AAPL,2025-06-10,2,0,0,0
AAPL,2025-06-18,1,1,1,1
AAPL,2025-06-24,1,1,1,1
AAPL,2025-06-25,1,0,1,1
AAPL,2025-06-27,1,1,1,1
AAPL,2025-07-01,1,1,1,1
AAPL,2025-07-02,4,1,0,0
AAPL,2025-07-03,1,0,0,0
AAPL,2025-07-07,2,1,1,0
AAPL,2025-07-08,2,1,1,0
AAPL,2025-07-09,2,1,0,0
AAPL,2025-07-11,1,0,0,1
AAPL,2025-07-14,3,1,1,1
AAPL,2025-07-15,4,1,1,1
AAPL,2025-07-16,2,0,1,1
AAPL,2025-07-25,1,1,0,0
AAPL,2025-07-28,5,0,0,0
AAPL,2025-07-29,1,0,0,0
AAPL,2025-07-30,5,0,0,1
